"","Version","ID","Sex","AgeYears","AgeMonths","AgeDays","Experimenter","Mom_and_Child","Strangers","Friends","character_emotion","Better_Friend_sad","Ice_Cream_sad","Candy_sad","New_Friend_sad","Mom_sad","FriendMom_sad","character_emotion.1","Better_Friend_happy","Ice_Cream_happy","Candy_happy","New_Friend_happy","Mom_happy","FriendMom_happy","condition","answer"
"111","E","S056","M",6,2,13,"Megan",1,6,3,"Avery",0,1,0,1,1,1,"Riley",0,0,1,1,1,1,"Circles_emo_s",6
"112","F","S057","M",9,3,2,"Megan",1,6,4,"Avery",1,0,1,2,2,1,"Riley",0,1,0,2,2,1,"Circles_emo_s",3
"113","G","S058","F",7,6,1,"Megan",5,6,3,"Avery",0,0,1,2,1,2,"Riley",0,0,1,1,1,2,"Circles_emo_s",5
"114","H","S059","M",6,10,16,"Megan",4,6,3,"Avery",1,1,1,1,2,2,"Riley",0,0,0,1,1,1,"Circles_emo_s",6
"115","A","S001","F",8,0,14,"Megan",3,6,4,"Orin",1,1,0,2,1,2,"Cameron",0,1,0,2,2,1,"Circles_fact_h",5
"116","B","S002","F",8,4,22,"Megan",2,6,4,"Orin",1,1,0,2,1,1,"Cameron",1,1,0,2,1,1,"Circles_fact_h",3
"117","A","S003","M",7,7,28,"Megan",3,6,4,"Orin",1,1,0,1,2,1,"Cameron",1,0,1,2,1,2,"Circles_fact_h",4
"118","B","S004","M",6,10,23,"Megan",1,6,3,"Orin",1,1,1,1,2,1,"Cameron",1,1,1,2,2,2,"Circles_fact_h",6
"119","A","S005","F",9,10,17,"Megan",1,6,5,"Orin",1,1,0,1,2,2,"Cameron",1,1,0,1,2,2,"Circles_fact_h",5
"120","B","S006","F",7,11,25,"Megan",1,6,5,"Orin",1,0,0,1,2,2,"Cameron",0,0,0,1,2,1,"Circles_fact_h",5
"121","A","S007","F",7,11,0,"Megan",4,6,2,"Orin",1,1,1,2,2,1,"Cameron",1,0,1,1,2,2,"Circles_fact_h",4
"122","B","S008","F",8,4,22,"Megan",1,6,2,"Orin",1,1,1,2,2,2,"Cameron",1,1,1,2,2,2,"Circles_fact_h",3
"123","A","S009","M",9,9,6,"Megan",2,6,3,"Orin",1,0,1,1,2,1,"Cameron",0,1,0,2,1,1,"Circles_fact_h",3
"124","B","S010","F",8,1,5,"Megan",4,6,5,"Orin",0,0,1,1,2,1,"Cameron",1,0,0,2,1,2,"Circles_fact_h",5
"125","A","S011","M",7,1,9,"Megan",2,5,3,"Orin",0,0,0,2,2,1,"Cameron",1,1,0,2,1,1,"Circles_fact_h",4
"126","B","S012","M",8,5,21,"Megan",1,6,4,"Orin",1,1,0,2,1,1,"Cameron",1,1,0,2,1,1,"Circles_fact_h",3
"127","C","S013","M",6,7,2,"Megan",4,6,3,"Orin",1,0,1,1,2,1,"Cameron",1,0,1,1,2,1,"Circles_fact_h",4
"128","D","S014","M",6,9,12,"Megan",4,6,1,"Orin",1,1,1,2,1,2,"Cameron",0,0,0,2,2,2,"Circles_fact_h",6
"129","C","S015","M",8,8,5,"Megan",3,6,4,"Orin",1,1,0,2,2,1,"Cameron",1,1,0,1,1,2,"Circles_fact_h",5
"130","D","S016","M",7,2,10,"Megan",1,6,5,"Orin",0,1,0,2,2,2,"Cameron",0,0,0,1,1,2,"Circles_fact_h",4
"131","C","S017","M",6,8,2,"Megan",5,6,2,"Orin",1,1,0,2,2,1,"Cameron",0,0,1,2,2,1,"Circles_fact_h",5
"132","D","S018","M",8,1,26,"Megan",1,6,4,"Orin",1,1,1,1,2,1,"Cameron",1,1,1,2,2,1,"Circles_fact_h",4
"133","C","S019","M",7,6,4,"Megan",3,6,1,"Orin",0,1,1,2,2,1,"Cameron",0,1,0,2,2,2,"Circles_fact_h",1
"134","D","S020","F",9,1,12,"Megan",4,6,1,"Orin",1,1,0,2,2,2,"Cameron",0,0,1,1,2,1,"Circles_fact_h",5
"135","C","S021","F",6,5,9,"Megan",6,4,5,"Orin",1,1,0,1,2,1,"Cameron",0,1,0,2,1,2,"Circles_fact_h",2
"136","D","S022","F",6,5,9,"Megan",1,6,5,"Orin",0,0,0,1,1,1,"Cameron",0,0,0,1,1,2,"Circles_fact_h",1
"137","C","S023","M",7,2,14,"Megan",2,6,5,"Orin",1,1,0,2,2,1,"Cameron",1,0,1,1,2,2,"Circles_fact_h",6
"138","D","S024","F",6,9,12,"Megan",1,6,5,"Orin",1,1,1,1,2,1,"Cameron",0,0,0,2,2,1,"Circles_fact_h",4
"139","A","S025","F",7,10,7,"Megan",3,6,2,"Orin",1,1,0,2,2,1,"Cameron",0,1,0,1,2,1,"Circles_fact_h",4
"140","B","S026","M",6,0,15,"Megan",6,5,4,"Orin",0,0,0,1,1,1,"Cameron",0,1,0,2,1,2,"Circles_fact_h",6
"141","C","S027","M",6,11,15,"Megan",4,6,1,"Orin",1,1,1,1,2,2,"Cameron",0,0,0,2,2,2,"Circles_fact_h",6
"142","D","S028","F",7,6,27,"Megan",1,6,3,"Orin",0,1,0,1,2,1,"Cameron",0,0,0,2,1,2,"Circles_fact_h",4
"143","A","S029","M",6,5,20,"Megan",4,6,5,"Orin",1,1,1,2,1,2,"Cameron",1,1,0,1,1,1,"Circles_fact_h",5
