"","Version","ID","Sex","AgeYears","AgeMonths","AgeDays","Experimenter","character_emotion","Circles_fact_s","Circles_emo_s","Better_Friend_sad","Ice_Cream_sad","Candy_sad","New_Friend_sad","Mom_sad","FriendMom_sad","character_emotion.1","Circles_fact_h","Circles_emo_h","Better_Friend_happy","Ice_Cream_happy","Candy_happy","New_Friend_happy","Mom_happy","FriendMom_happy","answer","Strangers"
"77","D","S020","F",9,1,12,"Megan","Orin",4,2,1,1,0,2,2,2,"Cameron",5,5,0,0,1,1,2,1,"Mom_and_Child",4
"78","C","S021","F",6,5,9,"Megan","Orin",3,4,1,1,0,1,2,1,"Cameron",2,4,0,1,0,2,1,2,"Mom_and_Child",6
"79","D","S022","F",6,5,9,"Megan","Orin",2,6,0,0,0,1,1,1,"Cameron",1,4,0,0,0,1,1,2,"Mom_and_Child",1
"80","C","S023","M",7,2,14,"Megan","Orin",6,6,1,1,0,2,2,1,"Cameron",6,5,1,0,1,1,2,2,"Mom_and_Child",2
"81","D","S024","F",6,9,12,"Megan","Orin",5,4,1,1,1,1,2,1,"Cameron",4,5,0,0,0,2,2,1,"Mom_and_Child",1
"82","A","S025","F",7,10,7,"Megan","Orin",4,2,1,1,0,2,2,1,"Cameron",4,3,0,1,0,1,2,1,"Mom_and_Child",3
"83","B","S026","M",6,0,15,"Megan","Orin",1,2,0,0,0,1,1,1,"Cameron",6,5,0,1,0,2,1,2,"Mom_and_Child",6
"84","C","S027","M",6,11,15,"Megan","Orin",5,5,1,1,1,1,2,2,"Cameron",6,6,0,0,0,2,2,2,"Mom_and_Child",4
"85","D","S028","F",7,6,27,"Megan","Orin",4,5,0,1,0,1,2,1,"Cameron",4,5,0,0,0,2,1,2,"Mom_and_Child",1
"86","A","S029","M",6,5,20,"Megan","Orin",6,6,1,1,1,2,1,2,"Cameron",5,6,1,1,0,1,1,1,"Mom_and_Child",4
"87","B","S030","M",7,1,26,"Megan","Orin",6,5,0,1,1,2,2,1,"Cameron",3,1,0,1,1,2,1,2,"Mom_and_Child",3
"88","C","S031","M",7,6,29,"Megan","Orin",5,5,1,0,1,1,2,1,"Cameron",5,5,1,0,1,1,1,1,"Mom_and_Child",4
"89","E","S032","M",8,11,11,"Megan","Avery",2,2,1,1,0,1,1,1,"Riley",3,2,1,1,1,1,2,1,"Mom_and_Child",6
"90","G","S034","M",7,1,21,"Megan","Avery",4,2,1,1,1,2,2,2,"Riley",4,2,1,1,1,1,2,2,"Mom_and_Child",1
"91","H","S035","M",9,1,20,"Megan","Avery",5,4,1,0,0,1,2,1,"Riley",4,5,1,0,0,1,2,2,"Mom_and_Child",4
"92","E","S036","M",6,6,24,"Megan","Avery",4,6,0,0,1,1,1,2,"Riley",1,4,1,0,1,2,2,1,"Mom_and_Child",4
"93","F","S037","M",8,4,2,"Megan","Avery",5,6,1,0,1,1,1,1,"Riley",5,5,1,0,1,2,1,1,"Mom_and_Child",2
"94","G","S038","M",8,11,9,"Megan","Avery",4,3,1,1,1,2,2,2,"Riley",4,4,0,0,0,2,2,2,"Mom_and_Child",1
"95","H","S039","M",7,4,24,"Megan","Avery",6,6,1,1,1,2,2,1,"Riley",6,6,1,1,1,2,1,1,"Mom_and_Child",4
