ID,population,age,sex,relationship,emotion,chose_emotion
S043,child,8.493378995433789,M,friend,happy,1
S043,child,8.493378995433789,M,friend,sad,1
S044,child,8.841552511415525,F,bestfriend,happy,0
S044,child,8.841552511415525,F,bestfriend,sad,0
S044,child,8.841552511415525,F,friend,happy,0
S044,child,8.841552511415525,F,friend,sad,0
S045,child,9.235159817351597,M,bestfriend,happy,1
S045,child,9.235159817351597,M,bestfriend,sad,1
S045,child,9.235159817351597,M,friend,happy,1
S045,child,9.235159817351597,M,friend,sad,0
S046,child,6.010958904109589,M,bestfriend,happy,1
S046,child,6.010958904109589,M,bestfriend,sad,0
S046,child,6.010958904109589,M,friend,happy,0
S046,child,6.010958904109589,M,friend,sad,1
S047,child,8.016438356164384,F,bestfriend,happy,0
S047,child,8.016438356164384,F,bestfriend,sad,0
S047,child,8.016438356164384,F,friend,happy,1
S047,child,8.016438356164384,F,friend,sad,1
S048,child,9.25,F,bestfriend,happy,1
S048,child,9.25,F,bestfriend,sad,1
S048,child,9.25,F,friend,happy,0
S048,child,9.25,F,friend,sad,0
S049,child,8.521917808219179,M,bestfriend,happy,0
S049,child,8.521917808219179,M,bestfriend,sad,0
S049,child,8.521917808219179,M,friend,happy,1
S049,child,8.521917808219179,M,friend,sad,1
S050,child,6.357990867579908,F,bestfriend,happy,1
S050,child,6.357990867579908,F,bestfriend,sad,1
S050,child,6.357990867579908,F,friend,happy,1
S050,child,6.357990867579908,F,friend,sad,1
S051,child,7.868949771689498,M,bestfriend,happy,0
S051,child,7.868949771689498,M,bestfriend,sad,0
S051,child,7.868949771689498,M,friend,happy,0
S051,child,7.868949771689498,M,friend,sad,0
S052,child,8.073972602739726,M,bestfriend,happy,0
S052,child,8.073972602739726,M,bestfriend,sad,1
S052,child,8.073972602739726,M,friend,happy,0
S052,child,8.073972602739726,M,friend,sad,1
S053,child,8.282876712328767,M,bestfriend,happy,0
S053,child,8.282876712328767,M,bestfriend,sad,0
S053,child,8.282876712328767,M,friend,happy,0
S053,child,8.282876712328767,M,friend,sad,0
S054,child,6.56027397260274,F,bestfriend,happy,1
S054,child,6.56027397260274,F,bestfriend,sad,0
S054,child,6.56027397260274,F,friend,happy,0
S054,child,6.56027397260274,F,friend,sad,0
S055,child,9.032876712328767,F,bestfriend,happy,1
S055,child,9.032876712328767,F,bestfriend,sad,1
S055,child,9.032876712328767,F,friend,happy,1
S055,child,9.032876712328767,F,friend,sad,1
S056,child,6.72420091324201,M,bestfriend,happy,0
S056,child,6.72420091324201,M,bestfriend,sad,0
S056,child,6.72420091324201,M,friend,happy,0
S056,child,6.72420091324201,M,friend,sad,0
S057,child,7.4100456621004565,F,bestfriend,happy,0
S057,child,7.4100456621004565,F,bestfriend,sad,1
S057,child,7.4100456621004565,F,friend,happy,0
S057,child,7.4100456621004565,F,friend,sad,1
S058,child,8.516438356164384,F,bestfriend,happy,0
S058,child,8.516438356164384,F,bestfriend,sad,0
S058,child,8.516438356164384,F,friend,happy,0
S058,child,8.516438356164384,F,friend,sad,0
S059,child,6.516438356164383,M,bestfriend,happy,0
S059,child,6.516438356164383,M,bestfriend,sad,0
S059,child,6.516438356164383,M,friend,happy,0
S059,child,6.516438356164383,M,friend,sad,0
S060,child,6.573972602739726,F,bestfriend,happy,0
S060,child,6.573972602739726,F,bestfriend,sad,1
S060,child,6.573972602739726,F,friend,happy,1
S060,child,6.573972602739726,F,friend,sad,0
S061,child,9.479680365296803,F,bestfriend,happy,1
S061,child,9.479680365296803,F,bestfriend,sad,1
S061,child,9.479680365296803,F,friend,happy,0
S061,child,9.479680365296803,F,friend,sad,0
S062,child,9.527397260273972,M,bestfriend,happy,1
S062,child,9.527397260273972,M,bestfriend,sad,1
S062,child,9.527397260273972,M,friend,happy,0
S062,child,9.527397260273972,M,friend,sad,1
S063,child,6.669406392694064,M,bestfriend,happy,0
S063,child,6.669406392694064,M,bestfriend,sad,1
S063,child,6.669406392694064,M,friend,happy,0
S063,child,6.669406392694064,M,friend,sad,0
S064,child,6.19406392694064,F,bestfriend,happy,0
S064,child,6.19406392694064,F,bestfriend,sad,0
S064,child,6.19406392694064,F,friend,happy,1
S064,child,6.19406392694064,F,friend,sad,1
S065,child,6.068493150684931,F,bestfriend,happy,1
S065,child,6.068493150684931,F,bestfriend,sad,0
S065,child,6.068493150684931,F,friend,happy,1
S065,child,6.068493150684931,F,friend,sad,0
